传染病名,年份,地区,发病数,死亡数,发病率(每10万人),死亡率
新生儿破伤风,2016,全国,177,3,0.013,0.0002
新生儿破伤风,2016,山西省,1,0,0.0027,0
新生儿破伤风,2016,辽宁省,1,0,0.0023,0
新生儿破伤风,2016,吉林省,1,0,0.0036,0
新生儿破伤风,2016,上海市,1,0,0.0041,0
新生儿破伤风,2016,江苏省,2,0,0.0025,0
新生儿破伤风,2016,浙江省,9,0,0.0163,0
新生儿破伤风,2016,安徽省,1,0,0.0016,0
新生儿破伤风,2016,福建省,11,0,0.0289,0
新生儿破伤风,2016,江西省,3,0,0.0066,0
新生儿破伤风,2016,山东省,1,0,0.001,0
新生儿破伤风,2016,河南省,11,1,0.0117,0.0011
新生儿破伤风,2016,湖北省,4,0,0.0069,0
新生儿破伤风,2016,湖南省,1,0,0.0015,0
新生儿破伤风,2016,广东省,34,0,0.0317,0
新生儿破伤风,2016,广西省,15,0,0.0316,0
新生儿破伤风,2016,海南省,3,0,0.0332,0
新生儿破伤风,2016,四川省,8,0,0.0098,0
新生儿破伤风,2016,贵州省,14,2,0.0399,0.0057
新生儿破伤风,2016,云南省,9,0,0.0191,0
新生儿破伤风,2016,陕西省,1,0,0.0026,0
新生儿破伤风,2016,甘肃省,10,0,0.0386,0
新生儿破伤风,2016,宁夏,4,0,0.0605,0
新生儿破伤风,2016,新疆,32,0,0.1392,0
新生儿破伤风,2016,建设兵团,2,0,0.0732,0
新生儿破伤风,2015,全国,306,17,0.0225,0.0012
新生儿破伤风,2015,北京市,1,0,0.0046,0
新生儿破伤风,2015,天津市,1,0,0.0066,0
新生儿破伤风,2015,河北省,7,0,0.0095,0
新生儿破伤风,2015,江苏省,5,0,0.0063,0
新生儿破伤风,2015,浙江省,28,1,0.0508,0.0018
新生儿破伤风,2015,安徽省,3,0,0.0049,0
新生儿破伤风,2015,福建省,20,1,0.0525,0.0026
新生儿破伤风,2015,江西省,6,0,0.0132,0
新生儿破伤风,2015,山东省,5,0,0.0051,0
新生儿破伤风,2015,河南省,11,0,0.0117,0
新生儿破伤风,2015,湖南省,8,1,0.0119,0.0015
新生儿破伤风,2015,广东省,59,2,0.055,0.0019
新生儿破伤风,2015,广西省,22,0,0.0463,0
